SubjectCode,Acc_ConLR,Acc_InLR,Acc_ConTB,Acc_InTB
001,8,8,7,7
002,5,4,5,4
003,6,5,5,5
005,6,8,7,7
006,6,7,6,5
007,6,7,6,7
008,7,6,5,6
301,3,6,2,4
401,2,0,2,3
403,6,7,6,4
404,4,5,4,2
405,7,4,8,4
406,5,6,5,5
407,3,2,4,2
408,7,6,7,6
409,5,5,4,2
410,8,7,8,8
411,7,5,8,7
412,5,6,5,3
413,6,6,5,6
414,4,5,8,7
415,0,3,1,1
416,6,7,7,5
501,4,7,7,7
502,4,6,5,5
503,3,2,2,0
504,6,8,5,7
505,3,5,4,0
506,3,3,5,4
507,3,5,5,6
508,2,4,1,3
509,5,2,5,4
510,8,7,7,7
511,6,4,5,2
512,5,5,6,6
513,6,7,7,7
514,8,7,6,8
515,2,2,3,3
516,4,7,7,4
517,7,6,7,6
518,6,7,5,5
519,0,3,0,0
520,5,5,4,5
521,7,8,6,7
522,5,6,2,4
601,5,6,5,7
602,7,6,6,2
603,6,7,7,7
604,7,8,8,7
605,2,4,1,3
