Subject,Age,CharacterCode,Item,ISI_Sequence,ISI,ISD,BoundaryCode,ReadingScore
006,18,CR1,CR1_5,5,50,12.36931688,1st UB,66
006,18,CL2,CL2_9,9,58,16.55294536,2nd UB,66
412,22,IB1,IB1_5,5,63,38.27531842,1st UB,50
409,22,CT2,CT2_7,7,66,45.3431362,2nd UB,61
410,23,CL4,CL4_7,7,67,30.61045573,2nd UB,39
413,22,CL1,CL1_8,8,71,11.66190379,2nd UB,47
517,23,CR1,CR1_4,4,75,34.13209633,1st UB,52
413,22,CR1,CR1_4,4,80,10.63014581,1st UB,47
006,18,IT1,IT1_8,8,82,28.7923601,2nd UB,66
006,18,IL1,IL1_9,9,84,25,2nd UB,66
006,18,IR1,IR1_5,5,86,28.60069929,1st UB,66
406,27,CB1,CB1_5,5,87,31.78049716,1st UB,28
409,22,CR2,CR2_3,3,87,49.04079934,1st UB,61
409,22,CR1,CR1_5,5,89,48.10405388,1st UB,61
301,23,CT2,CT2_9,9,90,38.01315562,2nd UB,28
602,29,CB3,CB3_3,3,95,105.4371851,1st UB,74
602,29,CT2,CT2_8,8,96,124.579292,2nd UB,74
006,18,IB1,IB1_5,5,96,8,1st UB,66
501,21,IL3,IL3_7,7,97,39.11521443,2nd UB,45
409,22,IR2,IR2_3,3,97,63.51377803,1st UB,61
501,21,CL3,CL3_5,5,98,44.28317965,2nd UB,45
602,29,CB4,CB4_2,2,99,41.78516483,1st UB,74
512,35,IR1,IR1_4,4,99,90.8735385,1st UB,46
601,30,IB3,IB3_4,4,100,83.72574276,1st UB,39
515,20,CB4,CB4_4,4,100,49.06471237,1st UB,71
006,18,CT1,CT1_9,9,100,30.61045573,2nd UB,66
409,22,CL1,CL1_8,8,101,110,2nd UB,61
501,21,IB3,IB3_3,3,103,30.8058436,1st UB,45
516,23,CR1,CR1_5,5,104,97.59098319,1st UB,42
406,27,CR1,CR1_5,5,105,66.28725368,1st UB,28
006,18,IL2,IL2_12,12,105,30.08321791,2nd UB,66
409,22,CT1,CT1_9,9,105,87.98295289,2nd UB,61
410,23,IL3,IL3_8,8,105,81.27115109,2nd UB,39
512,35,CL1,CL1_8,8,105,131.6548518,2nd UB,46
410,23,IT3,IT3_6,6,106,80.05623024,2nd UB,39
410,23,CR3,CR3_3,3,106,75.76938696,1st UB,39
516,23,IL1,IL1_9,9,106,47.16990566,2nd UB,42
602,29,IT2,IT2_8,8,107,194.9051051,2nd UB,74
603,23,IL2,IL2_12,12,107,39.62322551,2nd UB,82
512,35,IR2,IR2_4,4,108,116.2970335,1st UB,46
501,21,IT3,IT3_6,6,109,67.11929678,2nd UB,45
301,23,IL2,IL2_12,12,109,47.20169488,2nd UB,28
513,22,IL3,IL3_8,8,109,69.0651866,2nd UB,46
513,22,IL4,IL4_9,9,109,40.80441153,2nd UB,46
409,22,CL2,CL2_9,9,109,123.5677952,2nd UB,61
410,23,IL4,IL4_9,9,109,112.9690223,2nd UB,39
512,35,IT1,IT1_7,7,109,70.03570518,2nd UB,46
516,23,IR4,IR4_3,3,109,157.0986951,1st UB,42
006,18,CR2,CR2_4,4,110,47.16990566,1st UB,66
511,26,IL1,IL1_7,7,110,59.03388857,2nd UB,50
410,23,IB3,IB3_4,4,110,77.00649323,1st UB,39
413,22,IR1,IR1_4,4,110,14.76482306,1st UB,47
516,23,IR2,IR2_4,4,110,102,1st UB,42
602,29,CL1,CL1_8,8,111,155.9006094,2nd UB,74
602,29,IL3,IL3_7,7,111,108.1896483,2nd UB,74
602,29,CL3,CL3_5,5,112,123.9072234,2nd UB,74
413,22,IB1,IB1_4,4,112,12.52996409,1st UB,47
406,27,CL1,CL1_8,8,113,45.22167622,2nd UB,28
301,23,CL1,CL1_8,8,113,59.20304046,2nd UB,28
301,23,IR1,IR1_5,5,113,122.0901306,1st UB,28
006,18,IR2,IR2_4,4,113,46.5188134,1st UB,66
410,23,CB4,CB4_3,3,113,43.28972164,1st UB,39
516,23,IL3,IL3_8,8,113,120.9338662,2nd UB,42
516,23,CT2,CT2_8,8,113,87.23531395,2nd UB,42
501,21,IB4,IB4_3,3,114,43.17406629,1st UB,45
501,21,CT3,CT3_9,9,114,69.83552105,2nd UB,45
006,18,CL1,CL1_8,8,114,43.8634244,2nd UB,66
601,30,CL3,CL3_6,6,116,105.1189802,2nd UB,39
401,26,IR1,IR1_4,4,116,72.23572523,1st UB,52
406,27,IL1,IL1_9,9,116,33.24154028,2nd UB,28
006,18,CT2,CT2_8,8,116,34.88552709,2nd UB,66
410,23,CR1,CR1_3,3,116,56.22277119,1st UB,39
512,35,CB1,CB1_5,5,116,60.30754513,1st UB,46
516,23,CR4,CR4_2,2,116,147.3634962,1st UB,42
601,30,IT1,IT1_8,8,117,148.4486443,2nd UB,39
601,30,IL1,IL1_9,9,117,155.6534613,2nd UB,39
601,30,CL1,CL1_8,8,117,68.15423685,2nd UB,39
501,21,IB2,IB2_6,6,117,26.30589288,2nd UB,45
410,23,CR4,CR4_2,2,117,111.5706054,1st UB,39
519,33,IR1,IR1_4,4,117,39.8246155,1st UB,78
601,30,CR1,CR1_4,4,118,63.28506933,1st UB,39
